"number","title","pageid","namespace","length","touched"
"1","10_Rillington_Place","19101343","","14945","20170310134102"
"2","10_to_Midnight","14979283","","9528","20170310050233"
"3","11th_Victim","38322543","","3185","20170311235148"
"4","15_Minutes","3390263","","10592","20170316093951"
"5","1980_Antwerp_summer_camp_attack","50712513","","4648","20170314145337"
"6","2006_Noida_serial_murders","8706107","","32360","20170224050728"
"7","2010_Appomattox_shootings","25878253","","7215","20170227051325"
"8","2010_Lörrach_hospital_shooting","28882174","","7733","20170227053312"
"9","2011_Grand_Rapids_mass_murder","32339772","","20409","20170227053328"
"10","2011_Helmand_Province_incident","41315532","","26262","20170315234612"
"11","2011_murder_of_the_Ding_family","38592530","","14185","20170207125757"
"12","2014_Edmonton_killings","44909810","","5932","20170227060232"
"13","2014_Harris_County,_Texas_shooting","43261768","","26277","20170227055412"
"14","2015_Harris_County,_Texas_shooting","47482897","","13298","20170227153403"
"15","2016_Teenage_Mutant_Ninja_Turtles_400","51616160","","39652","20170312084136"
"16","24_Hour_Psycho","25103067","","2195","20170310200531"
"17","3_Ninjas:_High_Noon_at_Mega_Mountain","4610810","","7379","20170316101228"
"18","3_Ninjas_(film)","2223589","","11147","20170316005649"
"19","3_Ninjas_Kick_Back","3278100","","8677","20170316085848"
"20","3_Ninjas_Kick_Back_(video_game)","9241871","","4258","20170311160616"
"21","3_Ninjas_Knuckle_Up","3278182","","5300","20170316085848"
"22","40_Winks","8130025","","4891","20170311155946"
"23","501st_Legion_(Star_Wars)","3578167","","65","20170304142549"
"24","555_(1988_film)","34290959","","7427","20170225105249"
"25","8213:_Gacy_House","28945798","","3613","20170311023600"
"26","88_Minutes","4059223","","10999","20170316075636"
"27","APT_(film)","11584672","","5014","20170309231112"
"28","ATM_(2012_film)","34383775","","7409","20170220104747"
"29","A_(Pretty_Little_Liars)","38061693","","32311","20170313231315"
"30","A_Bay_of_Blood","4136530","","20806","20170316081337"
"31","A_Blade_in_the_Dark","13538989","","5303","20170310024505"
"32","A_Chilling_Cosplay","41454407","","3882","20170206030423"
"33","A_Company_Man","36203661","","6862","20170306080446"
"34","A_Conversation_with_Norman","2899611","","1998","20170316005101"
"35","A_Dream_of_Passion","16749582","","2323","20170310101230"
"36","A_Feast_Unknown","5455476","","8903","20170316145502"
"37","A_Good_Marriage_(film)","39482887","","8655","20170312014617"
"38","A_History_of_Violence","1726126","","21861","20170315185043"
"39","A_Horseman_in_the_Sky","15940239","","4493","20170310075231"
"40","A_New_World:_A_Life_of_Thomas_Paine","24363360","","2296","20170310192801"
"41","A_Nightmare_on_Elm_Street","3028191","","48442","20170316113429"
"42","A_Nightmare_on_Elm_Street_5:_The_Dream_Child","3038054","","17109","20170316074223"
"43","A_Ninja_Pays_Half_My_Rent","9303169","","3342","20170220052147"
"44","A_Perfect_Murder","189088","","12388","20170314131052"
"45","A_Place_of_Greater_Safety","29884018","","2431","20170311044510"
"46","A_Rose_for_Mary","675289","","2577","20170307051824"
"47","A_Samba_for_Sherlock","2338265","","5167","20170316020901"
"48","A_Shot_in_the_Dark_(1964_film)","856733","","11858","20170316102119"
"49","A_Storm_of_Swords","713625","","29851","20170315050302"
"50","A_Stranger_Is_Watching_(film)","4108752","","2962","20170316080926"
"51","A_Study_in_Terror","2175456","","6008","20170316145502"
"52","A_Taste_of_Killing_and_Romance","41397514","","4553","20170307094808"
"53","A_Toy_for_Juliette","5344510","","1872","20170316145502"
"54","A_Wicked_Woman","40219520","","2681","20170219144354"
"55","A_Woman_Has_Killed","23687843","","2095","20170121055310"
"56","Aadavaallu_Meeku_Joharlu","31087548","","2262","20170311073205"
"57","Aakhree_Raasta","5547391","","5756","20170309014750"
